produkt,cena,ilosc,rng
Produkt B,348,19,0.4
Produkt B,639,80,0.88
Produkt E,874,16,0.8
Produkt A,793,87,0.03
Produkt C,381,28,0.93
Produkt A,125,71,0.96
Produkt A,978,29,0.48
I Do pieca,373,16,0.71
Produkt A,85,45,0.31
Produkt C,771,92,0.7
Produkt E,640,60,0.79
Produkt C,764,70,0.79
Produkt E,649,68,0.71
Produkt B,547,99,0.59
Produkt B,768,90,0.3
Produkt B,743,43,0.34
Produkt C,520,26,0.62
Produkt C,753,64,0.15
Produkt E,650,43,0.51
Produkt D,13,28,0.19
67,238,92,0.47
Produkt B,863,17,0.24
67,446,45,0.56
Produkt C,927,65,0.49
Produkt A,625,83,0.65
Produkt C,652,46,0.81
Produkt C,261,51,0.99
Produkt A,169,48,0.81
Produkt B,56,44,0.52
Produkt C,419,I Do pieca,1.0
Produkt E,452,74,0.48
67,389,25,0.08
Produkt B,65,3,0.33
Produkt A,210,7,0.34
Produkt B,568,9,0.46
I Do pieca,159,87,0.4
Produkt B,275,68,0.86
Produkt B,876,76,0.17
Produkt B,36,90,0.85
Produkt B,678,24,0.27
Produkt A,377,39,0.71
Produkt B,880,62,0.14
Produkt E,536,16,0.51
Produkt D,194,55,0.71
Produkt E,251,36,0.59
Produkt E,Produkt D,1,0.01
Produkt D,393,53,0.32
Produkt D,591,41,0.17
Produkt B,286,41,0.52
Produkt D,970,12,0.54
Produkt B,637,58,0.16
Produkt C,951,33,0.56
Produkt D,260,46,0.34
Produkt B,92,32,0.7
Produkt D,589,50,0.56
67,872,59,0.98
Produkt D,39,76,0.31
Produkt D,81,100,0.63
Produkt D,474,49,0.22
Produkt C,651,62,0.96
Produkt E,255,23,0.05
Produkt A,Produkt C,24,0.0
Produkt C,369,81,0.39
Produkt A,713,14,0.99
Produkt B,191,18,0.02
Produkt B,Produkt B,46,0.01
Produkt D,593,25,0.02
Produkt C,425,47,0.15
Produkt B,71,68,0.36
Produkt A,370,41,0.19
Produkt D,318,5,0.2
Produkt D,564,9,0.41
Produkt D,643,66,0.11
Produkt B,78,28,0.45
Produkt A,694,33,0.14
Produkt B,852,37,0.76
Produkt D,735,9,0.96
67,215,22,0.37
Produkt B,218,53,0.15
Produkt C,782,28,0.45
Produkt D,173,14,0.27
Produkt A,954,82,0.83
Produkt E,471,97,0.83
Produkt C,625,91,0.22
Produkt A,196,95,0.38
Produkt B,309,79,0.33
Produkt D,46,31,0.32
67,785,81,0.98
Produkt D,672,10,0.04
Produkt C,893,24,0.36
Produkt E,70,88,0.96
Produkt C,203,55,0.53
Produkt D,757,74,0.48
Produkt B,615,75,0.5
I Do pieca,404,17,0.32
Produkt C,268,39,0.16
Produkt B,618,84,0.93
Produkt C,640,21,0.41
Produkt B,230,29,0.43
Produkt A,629,79,0.06
Produkt E,834,91,0.01
I Do pieca,333,71,0.52
Produkt C,40,50,0.84
Produkt C,9,58,0.84
Produkt A,973,86,0.34
67,961,7,0.67
I Do pieca,318,81,0.96
Produkt D,527,70,0.56
Produkt B,160,45,0.78
Produkt C,558,58,0.01
I Do pieca,102,80,0.36
Produkt D,782,73,0.77
Produkt C,752,58,0.6
Produkt C,374,7,0.41
Produkt D,874,67,0.49
Produkt A,880,72,0.15
Produkt A,326,11,0.82
Produkt D,330,16,0.75
Produkt A,501,8,0.27
Produkt B,209,28,0.91
67,728,100,0.12
67,679,25,0.03
Produkt B,201,92,0.42
Produkt B,134,18,0.65
I Do pieca,167,46,0.82
Produkt C,341,81,0.53
Produkt D,Produkt E,29,0.0
Produkt C,405,35,0.78
Produkt A,Produkt B,3,0.01
Produkt A,908,6,0.94
Produkt A,378,12,0.7
Produkt C,709,34,0.31
Produkt A,203,57,0.68
Produkt B,413,85,0.56
Produkt B,968,37,0.44
Produkt A,653,70,0.03
Produkt A,887,90,0.51
Produkt D,695,58,0.31
Produkt E,231,21,0.06
Produkt D,653,31,0.17
Produkt D,9,41,0.55
I Do pieca,79,91,0.65
Produkt D,381,59,0.18
Produkt D,Produkt D,42,0.0
Produkt A,928,Produkt B,0.99
Produkt C,900,40,0.54
Produkt D,635,26,0.53
Produkt C,107,68,0.14
Produkt D,50,82,0.62
Produkt C,445,86,0.98
67,307,51,0.67
Produkt C,476,60,0.84
Produkt C,436,62,0.4
Produkt E,575,80,0.28
Produkt A,59,67,0.05
Produkt A,815,24,0.92
Produkt D,564,19,0.78
Produkt B,807,73,0.61
Produkt C,466,59,0.25
Produkt E,308,42,0.4
Produkt E,443,34,0.34
Produkt D,285,65,0.62
Produkt A,103,56,0.31
I Do pieca,896,52,0.37
Produkt D,303,8,0.16
Produkt E,762,35,0.95
Produkt A,512,52,0.87
Produkt C,761,34,0.58
Produkt E,564,97,0.61
Produkt A,407,70,0.57
Produkt D,875,80,0.14
I Do pieca,854,29,0.38
67,1,98,0.92
Produkt C,606,85,0.71
Produkt E,952,65,0.69
Produkt D,989,35,0.83
Produkt D,232,86,0.21
Produkt C,718,18,0.94
Produkt D,115,1,0.24
Produkt A,97,98,0.71
Produkt E,179,95,0.24
Produkt B,544,33,0.92
Produkt A,712,94,0.87
I Do pieca,364,15,0.44
Produkt B,310,93,0.78
Produkt C,859,14,0.16
Produkt C,801,90,0.05
Produkt D,475,24,0.13
I Do pieca,391,78,0.44
Produkt A,109,39,0.6
Produkt A,420,65,0.94
Produkt A,353,97,0.69
Produkt D,941,59,0.82
Produkt D,405,38,0.31
Produkt D,726,90,0.35
Produkt B,589,56,0.92
Produkt C,859,Produkt B,0.99
Produkt C,185,83,0.64
Produkt B,229,20,0.82
Produkt A,197,79,0.76
I Do pieca,908,85,0.46
I Do pieca,167,62,0.43
Produkt B,98,33,0.24
Produkt C,886,15,0.53
Produkt B,590,85,0.66
I Do pieca,302,7,0.63
Produkt D,903,60,0.93
Produkt D,764,73,0.04
Produkt D,763,1,0.32
Produkt B,489,28,0.8
Produkt C,194,17,0.65
Produkt A,55,19,0.09
Produkt C,439,6,0.72
Produkt D,691,36,0.4
Produkt B,255,90,0.21
Produkt D,293,89,0.24
Produkt A,566,36,0.36
Produkt B,790,28,0.06
Produkt D,68,41,0.21
Produkt B,49,62,0.33
Produkt E,117,24,0.37
Produkt A,914,27,0.15
Produkt E,61,14,0.37
Produkt C,649,97,0.76
Produkt C,240,79,0.34
Produkt B,422,41,0.99
Produkt C,249,24,0.44
Produkt C,660,42,0.84
Produkt C,244,55,0.75
Produkt A,497,87,0.21
Produkt A,292,34,0.18
Produkt B,768,63,0.39
I Do pieca,940,72,0.41
Produkt D,901,59,0.68
Produkt D,955,15,0.49
Produkt B,11,42,0.31
Produkt C,416,76,0.17
Produkt C,285,33,0.22
Produkt A,706,53,0.38
Produkt B,4,15,0.96
Produkt E,224,47,0.86
Produkt D,836,74,0.36
Produkt D,402,96,0.31
I Do pieca,392,53,0.55
Produkt D,532,16,0.92
Produkt E,25,91,0.19
Produkt B,951,12,0.23
Produkt C,71,100,0.86
Produkt A,914,100,0.53
Produkt D,270,68,0.02
Produkt B,243,26,0.92
Produkt A,59,87,0.25
Produkt E,119,66,0.41
Produkt B,130,62,0.07
Produkt A,75,65,0.86
Produkt C,528,44,0.34
Produkt C,446,60,0.3
Produkt A,335,12,0.86
Produkt C,756,82,0.01
Produkt D,189,93,0.67
Produkt A,198,78,0.31
Produkt A,601,83,0.7
Produkt A,213,43,0.49
Produkt D,722,99,0.7
Produkt C,452,35,0.02
Produkt B,723,81,0.14
67,506,62,0.18
I Do pieca,815,1,0.39
Produkt A,962,98,0.42
Produkt E,998,33,0.7
Produkt D,389,94,0.24
Produkt A,555,6,0.85
Produkt B,249,3,0.22
Produkt D,929,27,0.46
Produkt B,535,85,0.4
Produkt B,487,14,0.36
Produkt A,104,58,0.13
Produkt A,782,69,0.1
Produkt B,491,92,0.93
Produkt A,625,94,0.77
Produkt B,207,40,0.84
Produkt A,190,84,0.08
Produkt A,631,78,0.64
Produkt A,466,95,0.4
Produkt B,953,99,0.13
Produkt B,766,76,0.37
Produkt A,447,46,0.51
Produkt C,179,60,0.41
Produkt D,382,11,0.77
Produkt D,620,94,0.44
Produkt B,957,26,0.37
Produkt D,588,12,0.12
Produkt D,289,48,0.5
Produkt E,703,31,0.38
Produkt A,810,25,0.43
Produkt A,691,61,0.54
Produkt C,954,50,0.63
Produkt B,694,40,0.26
Produkt E,177,3,0.44
Produkt B,796,68,0.38
Produkt B,182,28,0.42
Produkt B,489,56,0.91
Produkt E,545,31,0.98
Produkt C,826,32,0.26
Produkt C,418,44,0.62
Produkt A,562,88,0.35
Produkt D,295,22,0.86
Produkt C,693,68,0.18
Produkt E,452,56,0.38
Produkt C,726,25,0.94
Produkt C,685,3,0.8
Produkt B,331,70,0.03
I Do pieca,892,41,0.82
Produkt B,542,68,0.5
Produkt E,166,9,0.7
Produkt B,939,27,0.51
Produkt A,757,91,0.59
Produkt A,131,96,0.87
Produkt A,963,38,0.47
Produkt D,933,8,0.28
Produkt D,716,94,0.15
Produkt A,109,9,0.23
Produkt A,606,48,0.03
Produkt D,912,26,0.38
Produkt A,734,52,0.82
Produkt D,771,10,0.07
Produkt D,362,13,0.85
Produkt C,248,10,0.68
Produkt C,259,Produkt B,0.99
Produkt E,139,9,0.08
I Do pieca,518,68,0.89
Produkt B,599,61,0.14
Produkt B,47,58,0.13
I Do pieca,96,78,0.39
Produkt B,562,83,0.84
Produkt D,969,54,0.58
Produkt C,585,54,0.03
Produkt A,698,49,0.97
I Do pieca,538,36,0.41
Produkt B,91,20,0.37
I Do pieca,903,5,0.71
Produkt C,765,64,0.86
Produkt A,819,38,0.49
Produkt B,849,70,0.52
Produkt B,346,81,0.49
Produkt D,609,96,0.26
Produkt D,48,41,0.05
Produkt D,994,72,0.28
Produkt C,749,97,0.51
Produkt E,253,98,0.19
Produkt C,219,87,0.02
Produkt A,591,34,0.31
Produkt A,656,53,0.48
Produkt C,946,21,0.72
I Do pieca,61,9,0.06
Produkt C,750,50,0.93
Produkt A,373,32,0.35
Produkt C,943,10,0.77
Produkt B,615,43,0.23
Produkt A,410,31,0.56
I Do pieca,123,48,0.33
I Do pieca,35,98,0.73
Produkt C,315,74,0.98
Produkt C,548,4,0.61
Produkt B,648,58,0.68
Produkt B,365,8,0.63
Produkt A,652,64,0.23
I Do pieca,58,17,0.96
Produkt D,400,75,0.01
Produkt B,784,98,0.85
Produkt A,124,92,0.84
Produkt D,27,51,0.74
Produkt C,377,87,0.91
Produkt C,947,73,0.45
Produkt C,724,52,0.63
Produkt B,230,56,0.65
Produkt B,200,1,0.81
Produkt A,189,30,0.96
Produkt B,203,3,0.14
Produkt C,259,21,0.18
Produkt B,199,54,0.97
Produkt B,656,I Do pieca,0.99
Produkt D,487,52,0.81
Produkt A,68,16,0.88
Produkt E,556,39,0.65
Produkt B,186,100,0.83
Produkt B,332,89,0.11
Produkt D,964,57,0.69
Produkt A,480,18,0.42
Produkt A,921,45,0.29
Produkt C,561,76,0.91
I Do pieca,959,28,0.04
Produkt C,651,12,0.75
Produkt C,72,40,0.23
Produkt C,86,45,0.37
Produkt A,923,40,0.39
Produkt B,658,13,0.47
Produkt D,52,63,0.91
Produkt C,814,62,0.73
Produkt C,412,76,0.01
Produkt A,838,74,0.67
Produkt D,989,66,0.36
Produkt C,279,4,0.76
Produkt B,161,100,0.12
Produkt C,818,29,0.07
Produkt A,740,10,0.63
Produkt C,410,18,0.9
Produkt C,711,63,0.53
Produkt E,355,79,0.34
Produkt B,832,41,0.12
Produkt A,445,96,0.23
Produkt C,203,89,0.85
Produkt C,87,60,0.58
67,424,43,0.76
Produkt E,922,85,0.65
I Do pieca,447,39,0.15
Produkt C,683,66,0.82
Produkt D,73,62,0.93
Produkt A,630,43,0.62
Produkt D,958,6,0.45
Produkt C,480,37,0.6
Produkt C,548,19,0.88
Produkt B,410,6,0.31
Produkt B,380,35,0.3
Produkt C,119,8,0.58
Produkt B,858,57,0.19
I Do pieca,552,48,0.38
Produkt D,132,98,0.88
Produkt A,62,20,0.64
Produkt B,132,1,0.84
Produkt D,56,41,0.84
I Do pieca,58,52,0.11
Produkt D,915,44,0.32
Produkt A,513,45,0.63
Produkt C,287,70,0.73
Produkt C,872,57,0.33
I Do pieca,697,58,0.69
Produkt C,759,78,0.74
Produkt B,605,70,0.48
Produkt A,432,82,0.02
Produkt D,934,67,0.49
Produkt A,781,52,0.53
Produkt C,848,26,0.49
Produkt A,802,4,0.51
Produkt C,140,64,0.39
Produkt D,941,72,0.86
Produkt B,456,97,0.1
Produkt A,363,44,0.92
Produkt B,866,87,0.03
Produkt D,728,9,0.23
Produkt C,281,75,0.61
Produkt E,868,17,0.01
Produkt B,714,99,0.48
Produkt D,333,19,0.4
Produkt E,404,57,0.37
Produkt D,116,43,0.33
Produkt B,848,65,0.02
Produkt B,678,63,0.92
Produkt E,113,73,0.95
Produkt B,617,46,0.51
Produkt E,363,27,0.1
Produkt C,669,38,0.88
Produkt D,186,13,0.12
Produkt A,926,27,0.33
I Do pieca,387,18,0.24
Produkt A,665,14,0.95
Produkt E,597,86,0.13
Produkt D,572,66,0.6
Produkt C,448,16,0.12
Produkt E,970,55,0.08
Produkt B,803,30,0.98
Produkt D,1000,34,0.3
Produkt A,353,100,0.69
Produkt C,716,96,0.77
Produkt B,663,66,0.9
Produkt A,906,47,0.95
Produkt B,91,43,0.75
Produkt E,728,45,0.25
Produkt A,368,35,0.86
Produkt D,56,37,0.39
Produkt E,14,100,0.71
Produkt C,110,92,0.4
Produkt C,348,47,0.64
Produkt C,839,Produkt B,0.99
Produkt E,307,66,0.07
Produkt D,518,51,0.13
Produkt E,165,79,0.89
Produkt C,868,61,0.97
Produkt E,966,75,0.07
Produkt B,471,64,0.98
Produkt A,432,74,0.72
Produkt A,580,61,0.53
Produkt E,32,48,0.07
Produkt B,540,4,0.4
Produkt E,508,51,0.4
Produkt C,679,73,0.34
Produkt E,317,58,0.04
Produkt B,42,79,0.19
I Do pieca,226,42,0.47
I Do pieca,956,23,0.34
Produkt A,781,99,0.79
Produkt A,371,45,0.64
Produkt D,287,57,0.46
Produkt D,820,92,0.61
Produkt A,885,17,0.27
Produkt A,176,100,0.97
Produkt C,296,26,0.6
Produkt D,591,43,0.08
Produkt C,921,94,0.41
Produkt B,825,69,0.59
Produkt D,442,91,0.73
Produkt E,290,54,0.1
Produkt B,490,64,0.34
Produkt D,602,79,0.08
Produkt D,306,63,0.4
Produkt D,18,29,0.17
Produkt B,522,33,0.22
Produkt D,386,73,0.22
67,931,29,0.03
I Do pieca,561,74,0.14
Produkt A,209,10,0.29
Produkt C,597,49,0.54
Produkt B,704,33,0.93
Produkt C,78,90,0.9
Produkt E,365,7,0.73
Produkt B,9,4,0.12
Produkt C,686,7,0.07
Produkt D,100,100,0.43
Produkt B,195,73,0.39
Produkt A,527,61,0.63
Produkt A,883,85,0.11
Produkt C,193,38,0.43
Produkt B,828,16,0.87
Produkt A,673,34,0.82
Produkt D,184,49,0.9
Produkt A,136,63,0.56
Produkt B,704,85,0.22
Produkt C,694,52,0.61
I Do pieca,469,19,0.49
Produkt B,721,21,0.77
Produkt B,485,72,0.95
I Do pieca,610,49,0.77
I Do pieca,189,83,0.46
Produkt A,951,60,0.23
Produkt D,149,20,0.99
I Do pieca,760,96,0.96
Produkt B,200,100,0.31
Produkt D,366,81,0.37
Produkt A,608,29,0.32
Produkt C,947,97,0.21
Produkt A,216,83,0.34
Produkt E,13,79,0.05
Produkt E,788,83,0.43
Produkt B,980,37,0.74
Produkt D,382,31,0.76
Produkt B,269,9,0.33
Produkt B,61,54,0.78
Produkt A,610,68,0.74
Produkt A,740,21,0.84
Produkt B,759,47,0.83
Produkt A,337,11,0.67
I Do pieca,459,55,0.58
Produkt E,272,43,0.93
Produkt A,646,50,0.73
Produkt C,13,25,0.48
Produkt C,543,27,0.93
Produkt D,848,71,0.11
Produkt D,824,31,0.26
Produkt A,1,21,0.77
Produkt D,677,14,0.9
Produkt D,984,46,0.56
Produkt C,70,21,0.31
Produkt B,651,69,0.47
Produkt D,829,11,0.32
Produkt B,822,I Do pieca,1.0
Produkt C,93,11,0.07
Produkt B,98,45,0.38
Produkt B,215,68,0.65
Produkt E,971,88,0.6
Produkt E,220,45,0.03
Produkt E,855,6,0.34
Produkt D,844,2,0.34
Produkt D,737,84,0.67
Produkt C,196,86,0.44
Produkt B,852,18,0.84
Produkt A,681,39,0.11
Produkt A,723,Produkt D,1.0
Produkt E,46,55,0.8
Produkt D,606,36,0.88
Produkt D,37,18,0.97
67,715,89,0.86
Produkt D,968,41,0.76
Produkt B,135,6,0.6
Produkt E,892,62,0.83
Produkt D,594,44,0.4
Produkt D,933,63,0.73
Produkt D,7,66,0.51
Produkt C,183,61,0.16
Produkt D,982,84,0.66
Produkt E,69,12,0.94
Produkt E,997,15,0.51
Produkt B,34,61,0.56
Produkt B,707,61,0.64
Produkt C,511,82,0.72
Produkt C,495,81,0.63
Produkt B,896,66,0.54
Produkt D,477,12,0.64
Produkt B,856,10,0.67
Produkt C,631,70,0.9
Produkt E,622,80,0.7
67,224,62,0.95
Produkt D,385,62,0.12
Produkt D,352,60,0.51
Produkt A,709,30,0.14
Produkt D,445,46,0.54
Produkt D,543,82,0.48
67,556,1,0.14
Produkt B,339,37,0.77
Produkt D,958,6,0.87
Produkt D,30,9,0.03
Produkt B,405,42,0.78
Produkt B,780,11,0.99
Produkt B,672,10,0.81
Produkt A,758,32,0.01
Produkt E,395,55,0.56
Produkt B,726,45,0.06
Produkt B,644,15,0.48
Produkt D,817,25,0.23
Produkt E,91,57,0.86
Produkt C,20,46,0.14
Produkt A,472,95,0.92
Produkt C,360,92,0.06
Produkt B,60,92,0.13
Produkt E,796,38,0.7
Produkt C,624,80,0.76
Produkt C,439,94,0.42
Produkt B,98,20,0.32
Produkt B,826,30,0.26
Produkt D,20,2,0.22
Produkt B,536,70,0.69
Produkt B,405,81,0.08
Produkt E,836,5,0.64
I Do pieca,494,96,0.51
Produkt C,467,80,0.59
Produkt D,590,86,0.31
Produkt D,83,30,0.25
Produkt C,363,58,0.58
Produkt C,764,56,0.77
Produkt D,130,24,0.96
Produkt A,217,97,0.46
Produkt A,934,6,0.01
Produkt B,912,47,0.29
Produkt B,155,21,0.54
I Do pieca,668,63,0.36
Produkt A,389,22,0.33
Produkt B,34,28,0.37
Produkt B,671,50,0.3
Produkt C,430,74,0.11
Produkt C,949,62,0.48
Produkt B,988,26,0.56
Produkt A,992,13,0.09
Produkt C,792,41,0.14
Produkt A,420,55,0.48
I Do pieca,705,1,0.94
67,732,59,0.85
Produkt A,924,59,0.95
Produkt B,338,80,0.38
Produkt D,715,1,0.61
Produkt B,980,22,0.24
Produkt A,78,61,0.76
Produkt A,320,85,0.37
Produkt C,691,94,0.13
Produkt D,354,80,0.26
Produkt C,44,30,0.78
Produkt B,141,19,0.36
Produkt A,369,59,0.96
Produkt A,924,34,0.91
Produkt B,803,2,0.28
Produkt C,637,52,0.12
I Do pieca,635,24,0.24
Produkt D,436,59,0.87
Produkt D,904,56,0.59
Produkt E,803,89,0.43
Produkt D,740,79,0.87
Produkt C,845,11,0.81
Produkt A,223,15,0.68
Produkt A,70,13,0.64
Produkt C,296,87,0.51
Produkt C,554,68,0.91
Produkt B,407,22,0.47
Produkt D,419,53,0.47
Produkt B,249,65,0.86
Produkt A,911,15,0.58
Produkt A,999,48,0.35
I Do pieca,868,38,0.09
Produkt A,84,34,0.21
I Do pieca,1,39,0.48
Produkt A,313,42,0.51
Produkt C,370,19,0.58
Produkt D,793,Produkt C,0.99
Produkt C,115,70,0.53
Produkt D,664,97,0.43
Produkt C,392,66,0.16
Produkt D,516,39,0.87
Produkt E,840,75,0.97
Produkt C,327,96,0.53
Produkt B,323,35,0.76
Produkt B,655,80,0.98
Produkt A,309,30,0.27
Produkt B,335,Produkt A,1.0
I Do pieca,157,18,0.68
Produkt B,371,5,0.11
Produkt D,50,80,0.05
Produkt E,262,58,0.61
67,4,25,0.22
Produkt A,204,40,0.93
Produkt C,135,41,0.95
Produkt A,849,29,0.41
Produkt A,162,74,0.6
Produkt C,882,51,0.81
Produkt A,746,92,0.85
Produkt E,752,22,0.06
I Do pieca,451,16,0.37
Produkt A,414,87,0.95
Produkt D,564,14,0.49
Produkt D,956,4,0.75
Produkt D,594,66,0.9
Produkt C,45,27,0.21
I Do pieca,572,59,0.27
Produkt A,347,100,0.59
Produkt B,973,46,0.86
Produkt D,355,36,0.14
Produkt C,486,38,0.95
Produkt A,669,43,0.19
Produkt C,3,42,0.21
Produkt A,466,69,0.03
Produkt C,436,84,0.45
Produkt D,653,35,0.27
Produkt B,345,61,0.41
Produkt A,242,21,0.04
Produkt A,596,41,0.59
Produkt C,848,98,0.19
Produkt D,681,15,0.57
Produkt D,651,69,0.4
Produkt C,435,95,0.19
Produkt D,135,40,0.83
Produkt C,898,63,0.23
Produkt B,954,34,0.8
Produkt C,404,20,0.2
Produkt B,887,81,0.43
67,605,54,0.7
Produkt C,201,53,0.13
67,50,60,0.35
Produkt B,216,76,0.1
Produkt C,732,84,0.11
Produkt A,665,36,0.04
Produkt C,671,4,0.8
Produkt C,856,41,0.94
Produkt C,178,48,0.87
Produkt A,292,18,0.57
Produkt B,691,19,0.16
Produkt C,772,74,0.02
Produkt D,909,57,0.34
Produkt E,433,100,0.85
67,849,50,0.88
Produkt A,783,69,0.57
Produkt A,585,11,0.49
Produkt C,584,2,0.1
Produkt A,342,59,0.23
Produkt A,477,54,0.42
Produkt C,753,82,0.98
Produkt D,722,95,0.73
Produkt A,490,13,0.38
Produkt C,910,54,0.65
Produkt D,529,50,0.4
Produkt D,316,89,0.27
Produkt B,274,1,0.45
Produkt B,979,32,0.31
Produkt B,790,45,0.66
Produkt E,914,53,0.5
Produkt B,522,71,0.96
Produkt E,299,44,0.05
Produkt B,412,30,0.95
Produkt E,789,7,0.88
Produkt A,79,51,0.76
Produkt B,796,9,0.94
Produkt D,118,32,0.93
Produkt C,358,79,0.08
Produkt A,447,38,0.88
Produkt D,442,55,0.54
Produkt C,687,28,0.12
Produkt C,98,25,0.32
Produkt C,617,28,0.1
Produkt A,694,86,0.42
Produkt D,280,83,0.12
Produkt C,956,57,0.39
Produkt A,516,95,0.53
Produkt E,532,20,0.04
Produkt E,892,97,0.08
Produkt B,532,35,0.95
Produkt D,942,29,0.19
Produkt D,975,27,0.98
Produkt D,I Do pieca,47,0.0
Produkt B,469,21,0.39
Produkt C,795,52,0.97
67,353,96,0.66
67,176,40,0.15
Produkt A,296,74,0.44
Produkt D,738,10,0.82
Produkt A,703,39,0.16
Produkt B,491,72,0.1
Produkt E,140,4,0.73
Produkt E,917,72,0.85
Produkt C,527,65,0.62
Produkt D,33,22,0.17
Produkt A,754,6,0.27
67,772,77,0.76
Produkt C,508,30,0.25
67,181,14,0.93
Produkt B,196,62,0.51
Produkt A,237,95,0.27
I Do pieca,465,7,0.11
Produkt A,341,70,0.82
Produkt E,249,60,0.23
Produkt D,442,89,0.69
I Do pieca,872,69,0.48
Produkt A,142,24,0.09
Produkt E,500,81,0.61
Produkt B,196,49,0.08
Produkt D,589,100,0.93
Produkt B,619,37,0.58
Produkt C,154,26,0.68
Produkt A,382,34,0.11
Produkt B,781,60,0.55
Produkt C,576,57,0.11
Produkt B,243,68,0.62
Produkt E,353,44,0.43
Produkt C,499,16,0.34
I Do pieca,257,19,0.67
67,580,29,0.47
Produkt A,2,11,0.51
Produkt A,187,62,0.13
I Do pieca,363,82,0.43
Produkt B,96,50,0.31
Produkt D,488,3,0.75
Produkt C,297,80,0.99
Produkt A,286,85,0.67
I Do pieca,183,48,0.62
Produkt A,689,1,0.51
Produkt D,584,63,0.89
Produkt B,839,34,0.02
Produkt E,499,35,0.14
Produkt D,757,42,0.55
Produkt D,527,91,0.73
Produkt B,617,35,0.85
Produkt A,382,65,0.2
Produkt A,123,18,0.55
Produkt D,160,6,0.37
I Do pieca,580,94,0.13
Produkt A,645,72,0.88
Produkt C,307,24,0.42
Produkt A,239,42,0.22
Produkt C,527,6,0.47
Produkt E,755,95,0.09
Produkt D,522,37,0.58
I Do pieca,507,71,0.63
I Do pieca,212,43,0.68
Produkt D,306,60,0.35
Produkt E,74,87,0.97
I Do pieca,939,59,0.33
Produkt A,465,96,0.63
Produkt D,173,41,0.52
Produkt D,892,93,0.42
Produkt C,906,76,0.71
Produkt C,898,6,0.55
Produkt C,575,76,0.65
Produkt D,405,78,0.61
Produkt E,532,3,0.74
Produkt C,267,82,0.4
Produkt C,585,69,0.92
Produkt D,691,89,0.96
Produkt C,62,44,0.6
Produkt B,311,51,0.2
Produkt A,276,5,0.29
I Do pieca,956,73,0.58
Produkt A,482,63,0.99
Produkt B,102,7,0.18
I Do pieca,973,37,0.31
Produkt A,742,37,0.74
Produkt A,322,95,0.74
I Do pieca,897,77,0.29
Produkt A,790,58,0.88
Produkt A,79,71,0.85
Produkt C,133,95,0.65
Produkt B,83,69,0.48
Produkt D,660,62,0.54
Produkt B,140,1,0.93
Produkt D,610,48,0.19
Produkt A,530,35,0.72
Produkt B,639,9,0.49
I Do pieca,566,17,0.02
Produkt B,70,69,0.61
Produkt A,961,96,0.76
Produkt C,524,100,0.88
Produkt A,133,35,0.35
Produkt B,799,87,0.91
Produkt C,63,2,0.91
Produkt A,304,32,0.25
Produkt D,360,72,0.4
Produkt A,928,75,0.49
I Do pieca,79,72,0.11
Produkt C,198,67,0.54
Produkt A,898,89,0.4
Produkt B,451,69,0.97
Produkt B,481,23,0.1
Produkt E,712,82,0.95
Produkt C,261,99,0.43
Produkt D,822,13,0.13
Produkt B,475,34,0.25
Produkt C,Produkt B,67,0.01
Produkt A,740,22,0.6
Produkt C,583,59,0.63
Produkt B,895,98,0.2
Produkt D,847,85,0.88
Produkt A,521,83,0.53
Produkt D,473,97,0.38
Produkt A,143,9,0.17
Produkt B,518,20,0.44
Produkt C,231,20,0.56
Produkt B,122,60,0.08
Produkt D,850,68,0.15
Produkt C,683,25,0.12
Produkt A,850,75,0.07
Produkt E,466,68,0.54
Produkt D,960,8,0.35
Produkt E,747,72,0.66
Produkt B,728,51,0.79
Produkt B,192,34,0.7
Produkt D,555,15,0.45
Produkt A,867,37,0.49
Produkt D,875,63,0.23
Produkt A,824,99,0.05
Produkt B,Produkt A,49,0.01
Produkt D,421,35,0.89
Produkt B,28,58,0.91
Produkt A,974,22,0.84
Produkt D,601,25,0.8
Produkt E,826,24,0.45
Produkt A,871,19,0.86
Produkt B,338,23,0.77
Produkt A,971,27,0.7
I Do pieca,569,6,0.6
Produkt A,975,7,0.52
I Do pieca,821,57,0.92
Produkt D,701,11,0.57
Produkt A,292,37,0.87
Produkt C,275,92,0.53
Produkt B,111,76,0.5
Produkt C,113,97,0.85
I Do pieca,901,73,0.29
Produkt A,469,12,0.85
I Do pieca,424,26,0.91
Produkt D,104,48,0.75
Produkt A,76,88,0.1
Produkt D,402,49,0.12
Produkt A,521,60,0.71
Produkt A,420,12,0.66
Produkt D,688,87,0.15
Produkt B,214,91,0.75
Produkt B,337,65,0.77
67,227,24,0.23
Produkt A,875,17,0.78
Produkt B,357,11,0.8
Produkt E,638,77,0.39
Produkt E,375,57,0.16
Produkt A,828,34,0.42
Produkt B,754,23,0.32
Produkt D,940,97,0.07
Produkt C,28,Produkt E,1.0
Produkt D,909,97,0.92
Produkt A,249,20,0.63
Produkt E,11,62,0.79
Produkt C,648,51,0.77
Produkt D,513,100,0.05
Produkt A,321,51,0.13
Produkt A,851,71,0.75
Produkt B,684,52,0.45
Produkt A,498,39,0.42
Produkt D,732,81,0.14
Produkt A,701,33,0.98
Produkt A,163,77,0.85
Produkt A,538,69,0.9
Produkt B,623,97,0.2
Produkt D,960,61,0.14
Produkt D,787,81,0.56
Produkt C,742,67,0.38
